title,authors,year,abstract,url
Principles and applications of photothermal catalysis,C Song; Z Wang; Z Yin; D Xiao; D Ma,2022,"photothermal catalysis, catalyst design criteria and strategies, and recent progress in applying  photothermal catalysis  enhanced understanding of photothermal catalysis and shed light...",https://www.cell.com/chem-catalysis/fulltext/S2667-1093(21)00244-X
Photothermal catalysis: From fundamentals to practical applications,J Zhang; H Chen; X Duan; H Sun; S Wang,2023,Photothermal catalysis is an innovative approach that  and classification of photothermal  catalysis and discuss detailed  We will also report photothermal catalysis in a diverse range of...,https://www.sciencedirect.com/science/article/pii/S1369702123002109
Plasmonic photothermal catalysis for solar-to-fuel conversion: current status and prospects,S Luo; X Ren; H Lin; H Song; J Ye,2021,", and plasmonic photothermal catalysis are summarized. First photothermal catalysis and  plasmonic photothermal catalysis important role of plasmonic photothermal catalysis in solar-to-...",https://pubs.rsc.org/en/content/articlehtml/2021/sc/d1sc00064k
Challenges in plasmonic catalysis,E Cortés; LV Besteiro; A Alabastri; A Baldi,2020,The use of nanoplasmonics to control light and heat close to the thermodynamic limit  enables exciting opportunities in the field of plasmonic catalysis. The decay of plasmonic...,https://pubs.acs.org/doi/abs/10.1021/acsnano.0c08773
Metal–organic frameworks for photocatalysis and photothermal catalysis,JD Xiao; HL Jiang,2018,", etc.) and photothermal catalysis play key roles in solar to  toward photocatalysis and  photothermal catalysis because of  photothermal catalysis to accelerate the future development....",https://pubs.acs.org/doi/abs/10.1021/acs.accounts.8b00521
Progress and prospect of photothermal catalysis,S Du; X Bian; Y Zhao; R Shi; T Zhang,2022,"photothermal catalysis in a better manner. Then we separate photothermal catalysis into   Finally, we expound on the future vision of photothermal catalysis, coexisting opportunities,...",https://link.springer.com/article/10.1007/s40242-022-2039-4
Photothermal catalysis: from principles to applications,M Shi; X Meng,2023,"Photothermal catalysis is a process to combine thermal catalysis  A photothermal catalysis  process will be established by  In this review, an overview of photothermal catalysis is firstly...",https://www.sciencedirect.com/science/article/pii/S0360319923026435
Photon and phonon powered photothermal catalysis,C Xu; Q Tang; W Tu; L Wang,2024,"Thus, the so-called photothermal catalysis can be driven either by phonons or  of photothermal  catalysis. In this perspective, we divide the recent advancement of photothermal catalysis...",https://pubs.rsc.org/en/content/articlehtml/2024/ee/d4ee00783b
"Advances in photothermal catalysis: mechanisms, materials, and environmental applications",X Song; X Shan; H Xue; X Li; R Liu,2024,Photothermal catalysis integrates the strengths of photocatalytic and thermochemical processes  and has gained significant attention in driving energy-consuming reactions such as CO...,https://pubs.acs.org/doi/abs/10.1021/acsanm.4c00598
Emerging high-prospect applications in photothermal catalysis,A Iglesias-Juez; F Fresno; JM Coronado,2022,"This article updates the most appealing progresses from the last years in the fast-expanding,  burgeoning research field that is photothermal heterogeneous catalysis. We provide an...",https://www.sciencedirect.com/science/article/pii/S2452223622000645
Photothermal catalysis for CO2 conversion,J Zhou; H Liu; H Wang,2023,"criteria and strategies for photothermal catalyst design are  achieved by photothermal  catalysis was summarized in terms  deepen the understanding of photothermal catalysis, but also...",https://www.sciencedirect.com/science/article/pii/S1001841722003606
Challenges and prospects of plasmonic metasurfaces for photothermal catalysis,L Mascaretti; A Schirato; P Fornasiero; A Boltasseva,2022,"Such discoveries have boosted the field of photothermal catalysis, which aims at driving   so far for applications in the field of photothermal catalysis. In this Perspective, we discuss the...",https://www.degruyter.com/document/doi/10.1515/nanoph-2022-0073/html
Copper‐based plasmonic catalysis: recent advances and future perspectives,Y Xin; K Yu; L Zhang; Y Yang; H Yuan; H Li,2021,"catalysis, plasmonic catalysis can significantly decrease the reaction temperature to achieve  desired catalytic activity. Besides, plasmonic catalysis is  For plasmonic catalysis, Au and Ag...",https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.202008145
Recent advancement and future challenges of photothermal catalysis for VOCs elimination: From catalyst design to applications,Y Yang; S Zhao; L Cui; F Bi; Y Zhang; N Liu,2023,"First, the fundamentals of photothermal catalysis and the  photothermal catalysis performance  is proposed. Second, the performance for VOC degradation with photothermal catalysis is...",https://www.sciencedirect.com/science/article/pii/S2468025722000334
Theoretical and experimental progress in photothermal catalysis for sustainable energy and environmental protection: Key problems and strategies towards …,S Ullah; N Ullah; SS Shah; D Guziejewski,2024,"splitting, and CO2 reduction), photothermal catalysis is a critical avenue for transforming   into the application of various materials in photothermal catalysis, representing a pioneering...",https://www.sciencedirect.com/science/article/pii/S1364032124003411
Advances in photothermal catalysis for air pollutants,X Yu; C Zhao; Z Chen; L Yang; B Zhu; S Fan,2024,"The elimination of air pollutants has garnered significant attention, particularly due to the  strengthening of environmental protection. Photothermal catalysis (PTC) blends effective...",https://www.sciencedirect.com/science/article/pii/S1385894724016784
Two-dimensional nanomaterials: synthesis and applications in photothermal catalysis,J Qu; S Li; B Zhong; Z Deng; Y Shu; Y Cai; J Hu; CM Li,2023,"been recently explored toward photothermal catalysis due to their  However, photothermal  catalysis over 2D nanomaterials is at  of recent advances in photothermal catalysis over 2D...",https://pubs.rsc.org/en/content/articlehtml/2008/5p/d2nr06092b
The nature of active sites for plasmon‐mediated photothermal catalysis and heat‐coupled photocatalysis in dry reforming of methane,J Zhang; L Wang; X Zhao; L Shi; H Chen,2023,photothermal catalysis (P-photothermal catalysis) and external heat-coupled photocatalysis  (E-photothermal catalysis)  reaction mechanism of photothermal catalysis to exploit efficient...,https://onlinelibrary.wiley.com/doi/abs/10.1002/eem2.12416
Challenges in temperature measurements in gas-phase photothermal catalysis,L Mascaretti; A Schirato; T Montini; A Alabastri,2022,"For example, TiN nanocavities have been recently considered for photothermal catalysis  upon decoration with Rh NPs. We introduce a modified setup for photothermal catalysis...",https://www.cell.com/joule/fulltext/S2542-4351(22)00293-8
"Optimizing Ag-Pt core-shell nanostructures for solar energy conversion, plasmonic photocatalysis, and photothermal catalysis",Y Chen; Y Zhai; L Deng; N Wang; Y Mao,2019,"As a promising plasmonic photocatalyst, an Ag-Pt core-shell nanostructure is able to convert  sunlight into chemical energy. To fully exploit each function of the constituent materials, a...",https://pubs.aip.org/aip/apl/article/114/18/183902/36864
